#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,STD_DEV
1,Cooper Kupp,WR,LAR,16.8,27.8,21.6,6.4,9.2,25,27.6,17.5,9.5,12.2,BYE,11.6,18.9,18.3,25.7,11.3,15.5,19.6,17.3,294.5,6.493483558
2,Deebo Samuel Sr.,WR,SF,22.9,10.1,5.2,27.7,13.1,BYE,14,17.1,6.3,25.3,15.4,19.8,0,11.9,14.9,19.1,14.2,25,16.4,262,7.304058691
3,Ja'Marr Chase,WR,CIN,15.9,11.4,18.5,7.7,21.9,9.7,26.1,10.1,2.9,BYE,10,3.9,5.2,20.3,0.3,12.5,44.6,2.6,13.2,223.6,10.61420345
4,Justin Jefferson,WR,MIN,7.5,12.5,17.8,14.4,12.4,6,BYE,2.1,14,13.9,29.2,9.3,24.6,13.5,10.7,11.6,5.8,17.1,13.1,222.4,6.472587926
5,Davante Adams,WR,LV,5.6,12.1,19.2,6.4,26.6,8.9,13.6,BYE,4.2,7.8,23.5,10.4,0,24.1,10.4,23.4,19.6,5.5,13.8,221.3,7.926592272
6,Mike Evans,WR,TB,2.4,19.5,10.6,7.5,23.3,2.7,25.6,10.8,BYE,12.2,14.3,1.6,9.9,15.1,1.4,0,10.7,20.9,11.8,188.5,7.752941176
7,Tyreek Hill,WR,MIA,26.1,2.9,4.7,36.6,7.8,13.6,6.7,15.4,3.3,20.5,11,0,2.2,7.6,20.8,1.9,4.2,0.2,10.9,185.5,9.820922802
8,Stefon Diggs,WR,HOU,6.9,12,6.2,11.4,6.9,14.9,0,10,8.5,22.2,14.3,13.4,5.1,7.4,9.5,14.5,5.2,14.1,10.7,182.5,4.919026427
9,Mike Williams,WR,NYJ,14.2,15.1,26.2,1.1,28.5,2.7,0,1.9,5.8,3.3,15.7,3.9,11,6.1,4.9,0,12.3,17.9,10.7,170.6,8.444890339
10,DK Metcalf,WR,SEA,12,5.3,16.7,12.5,21.8,5.8,15.6,16.3,BYE,2.6,3.1,1.3,6,4.3,5.2,10.1,24.9,5.8,10,169.3,6.835810449
11,Tyler Lockett,WR,SEA,22,23.8,3.1,2.4,5.7,3.5,1.2,14.2,BYE,2.3,11.5,9.6,12.8,22.2,0,3,9.1,22,10.5,168.4,8.071990103
12,Diontae Johnson,WR,CAR,9.6,10.5,0,15.2,13.2,9.6,0,9.8,6.7,6.3,16.1,9.5,22.5,10.3,4.8,9.1,9.1,5.1,10.5,167.4,5.271095185
13,Hunter Renfrow,WR,FA,7,5.7,13.7,10.5,5.6,3.6,5.8,0,10.9,10.6,3.5,13.6,10.2,15.7,3.2,10,13.6,12.9,9.2,156.1,4.372744569
14,CeeDee Lamb,WR,DAL,16.4,9.4,6.5,1.3,14.8,27.1,BYE,11.2,2.3,22.6,1.4,0,12.2,7.6,5,6.4,5.1,4.5,9.6,153.8,7.378595247
15,Keenan Allen,WR,CHI,10,10.8,11,3.6,7.5,5,0,13.7,10.4,9.8,11.2,8.5,17.4,0,13.8,3.5,10.4,5.2,9.5,151.8,4.606155302
16,Michael Pittman Jr.,WR,IND,2.9,12.3,7.3,5.9,14.9,3.8,16.5,20.6,12.4,7.1,2.3,5.3,11,BYE,0.7,8.5,4.7,14.4,8.9,150.6,5.463575518
17,Tee Higgins,WR,CIN,11.8,10,0,0,5.2,4.4,6.2,9.7,7.8,BYE,1.5,17.4,19.8,11.4,2.3,31.4,6.2,0,10.4,145.1,8.033894461
18,DJ Moore,WR,CHI,9.4,13.9,12.5,23.9,3.8,5.9,7.3,5.9,4.6,2.4,11,10.3,0,8.4,6.8,5.5,2.9,10,8.5,144.5,5.248471265
19,Chris Godwin,WR,TB,14.5,12.2,13.6,5.5,7,4.3,17.1,20,BYE,5.7,13.2,0.7,15.2,10.5,4.9,0,0,0,10.3,144.4,6.325343105
20,Jaylen Waddle,WR,MIA,12.1,2.8,5.8,3.3,3.3,19,8.3,2.9,8.3,6.1,12.6,19.7,9,BYE,0,15.2,4.7,8.7,8.9,141.8,5.572839473
21,Brandin Cooks,WR,DAL,13.2,13.8,11.7,4.7,2.3,8.9,2.1,14.3,5.6,0,1.8,10.5,5.4,10.1,22.2,0,12.6,2.6,8.9,141.8,5.936567991
22,Darnell Mooney,WR,ATL,2.6,6.6,0.9,13.5,3.5,10.5,3.9,6.4,17.6,0,18.1,12.5,2.7,1.9,6.6,5.9,12.9,12.6,8.2,138.7,5.534485043
23,Amon-Ra St. Brown,WR,DET,2.3,1.8,0.2,7,6.5,4.6,0,4.6,BYE,6.1,1.8,2.3,14.8,7.3,15.5,17,27.4,18.1,8.6,137.3,7.510504754
24,Terry McLaurin,WR,WAS,6.2,16.7,6.2,24.3,4.6,2.8,18.2,3.5,BYE,5.9,16.3,5.1,2.2,0,5.1,4,6.1,9.3,8,136.5,6.506988524
25,Hollywood Brown,WR,KC,13.4,17.3,5.3,15.1,24.5,3.5,14,0,11.6,3.7,0,5.1,5.5,4.1,4.3,4.4,0.8,2.7,8.5,135.3,6.639716359
26,Amari Cooper,WR,CLE,25.9,2.4,2.6,12.9,12,5.5,0,18.2,3.7,5.1,0,0,4.1,11.1,0.8,14.5,7.8,7.9,9,134.5,6.928508382
27,Adam Thielen,WR,CAR,21.2,9.9,11,4.6,4,18.8,0,13.8,6.6,6.5,14.2,18.2,0,0,0,4,0,0,10.2,132.8,7.088375112
28,Christian Kirk,WR,JAC,19,6.5,10.4,0.5,5,13.5,11,4.6,10.4,5.8,2.5,0,0.4,8.6,15.4,4.8,7.9,4.3,7.7,130.6,5.146543848
29,Kendrick Bourne,WR,NE,1.7,2.6,15.6,5.8,3.8,13.5,11.8,1.8,3.4,20.1,4.9,18.1,0.3,BYE,6.3,3.3,9.3,3.2,7.4,125.5,6.009427426
30,DeVonta Smith,WR,PHI,13.1,1.6,2.8,12.2,7.7,3.1,6.1,1.5,17.6,18.6,6.1,2.2,1.5,BYE,4,14,5.4,4.1,7.2,121.6,5.56988939
31,Van Jefferson,WR,PIT,14,1.4,4.2,15,1.6,1.9,10.3,8.8,4.1,5.4,0,15.3,10.1,12.8,3.3,0.6,6.3,3.1,7,118.2,5.058436298
32,A.J. Brown,WR,PHI,10.9,4.3,0.3,0,3.8,9.1,19.3,21.5,4.2,2.3,4.8,0,0,BYE,0,20.5,4.1,12.8,9.1,117.9,7.270321716
33,Tyler Boyd,WR,TEN,3.2,7.3,9.6,11.8,2.4,0.7,3.9,14.7,1.1,0,6.3,1.3,8.5,6.3,15.6,14.5,9.6,0,7.3,116.8,5.136350725
34,Brandon Aiyuk,WR,SF,0,0.6,10.5,1.5,3.2,BYE,0.9,6.5,12.7,2.6,14.5,9.5,5.5,12.6,3.6,10,9.4,10.7,6.7,114.3,4.671758632
35,K.J. Osborn,WR,NE,7.6,15.1,2.6,3.6,1.4,13.8,0,1,2,0,1.9,0.5,10.7,14.3,2.1,12.8,11,8.1,6.4,108.5,5.408717814
36,Chase Claypool,WR,FA,7,6.7,9.6,0,19,1.7,0,6.1,4.3,0,9.4,8.2,5.4,9.5,1.9,4.1,1.7,13,7.2,107.6,4.886211388
37,Marvin Jones Jr.,WR,FA,13.7,11.5,6.2,2.4,2.5,16,0,3.5,2.1,3.5,5.2,4.3,1.1,7,1.4,7.4,4.6,14.8,6.3,107.2,4.769838365
38,Marquez Callaway,WR,FA,1.4,0.8,10.1,7.4,20.5,0,3.2,3,8.5,9.7,8.6,2.4,1.3,3.4,11.2,4.6,9.7,0,6.2,105.8,5.147767106
39,DeAndre Hopkins,WR,TEN,20.3,11.4,2.1,6.7,14.7,17.5,11.3,6.6,0,0,0,0,9.2,5.4,0,0,0,0,10.5,105.2,6.599261088
40,Tim Patrick,WR,DEN,9.9,9.7,9.8,3.9,8.9,10.2,1.6,6.4,14.5,1.4,BYE,2.6,0.9,2.1,10.2,1.8,0,9.5,6.5,103.4,4.358390865
41,Jakobi Meyers,WR,LV,4.4,3.8,9.4,8.8,5.6,6.4,4.4,5.6,0.8,10.9,3.9,9.8,0,0,5.3,5.9,13.3,5,6.5,103.3,3.537911953
42,Cedrick Wilson Jr.,WR,NO,2.4,2.5,7.7,9,5,4.2,0,15.8,2.8,0,3.6,10.4,0,1.8,0,1,12.7,23.9,7.3,102.8,6.33849692
43,A.J. Green,WR,FA,2.5,10.4,11.2,12.7,1.3,13.9,6.6,5,0,0.4,7.8,0,1.4,10.2,6.4,3.3,7.4,2.3,6.4,102.8,4.44970522
44,Allen Lazard,WR,NYJ,1.6,0,4.2,3.3,0.6,8.7,12,0,8,0.6,0,1.3,0,14.9,2.8,11.8,13.2,19.5,7.3,102.5,6.041934221
45,Russell Gage,WR,BAL,0,2.8,0,0,0,0,12.7,BYE,6.4,0,4.9,12.2,11,6.4,15.1,1.9,5,18.6,7.5,97,5.911153027
46,Elijah Moore,WR,CLE,0.3,4.7,2.2,0,0,0,9.2,7.1,20.4,10.4,21.6,5.3,14.6,0,0,0,0,0,8.7,95.2,7.009244337
47,Courtland Sutton,WR,DEN,1.4,15.9,3.7,4.7,18,15.4,6.8,4,2.9,2.9,BYE,1.7,1.5,0.9,1.2,3.3,6,1.9,5.4,92.2,5.361137874
48,Robert Woods,WR,HOU,9.4,7,3.8,10.8,15,9.1,9,17.7,10.4,BYE,0,0,0,0,0,0,0,0,10.2,92.2,5.834232588
49,Gabe Davis,WR,JAC,10,0,2.3,0,1.6,2.5,BYE,8.9,0,10.5,2.7,4.7,9,10.3,20.5,0,4,3.9,6.1,90.9,5.343728336
50,Emmanuel Sanders,WR,FA,5.2,4.8,21.4,8.1,17.4,9.1,0,0,6.5,5.1,2.6,2.8,2.2,2.5,0,2,0,0,6.4,89.7,5.822203668
51,Robbie Chosen,WR,SF,11.7,3.8,0.8,4.9,3,7.1,1.4,0,0.2,9.7,3,1.5,0,14.4,6.2,5.8,1,11,5,85.5,4.333621785
52,Odell Beckham Jr.,WR,MIA,0,0,8.7,3.1,2,7.9,2.3,0.6,0,1.8,0,14.1,8.8,13.7,0.7,9.7,9.9,1.8,6.1,85.1,4.819152249
53,Byron Pringle,WR,WAS,0.6,12.3,1.2,2.3,5.1,5.5,7.3,1.2,BYE,10.6,3.7,0,1.4,2.8,2.2,19.5,3.5,5.6,5.3,84.8,4.916464817
54,Kalif Raymond,WR,DET,5.9,1.8,6.8,16.6,0,3.7,11.6,0,BYE,2.9,0,1.6,3.3,9.1,2,1.7,0,17.4,5.3,84.4,5.441662935
55,Mecole Hardman Jr.,WR,KC,1.9,5.5,9.5,4.1,7.6,4.8,0.8,6.3,2,3,2.5,BYE,1.2,5.9,1.1,9.1,5.3,11.3,4.8,81.9,3.094441942
56,Jarvis Landry,WR,FA,14.4,0.9,0,0,0,0,3.7,5,1.1,2.6,10.2,9.1,0,10.1,0,5.5,4.9,13.5,6.8,81,4.80566795
57,Antonio Brown,WR,FA,18.7,1.7,0,6.3,24.4,15.3,0,0,0,0,0,0,0,0,0,10.1,2.6,0,11.3,79.1,7.389517517
58,Cole Beasley,WR,FA,6,3.6,9.8,1.6,0.5,14.8,0,11,3.3,1.5,2.3,4.6,1.1,6.4,3.5,0,4.2,3.1,4.8,77.3,3.923925504
59,Deonte Harty,WR,BAL,13.2,1,3.1,5.2,13.2,0,0,5.7,5.2,7,1.1,0.9,15.9,0,0,0,2.3,3.3,5.9,77.1,4.91836129
60,Donovan Peoples-Jones,WR,DET,0.4,0.6,3.9,0,7,22.1,0,0,14.6,1.6,0,1,0,9,4.8,0.5,7.6,3.8,5.4,75.7,5.858593456
61,Braxton Berrios,WR,MIA,5.1,7.3,2.6,1.5,0.6,0,0,7.3,0.5,1.9,0,4.7,1.1,5.2,9.6,10,17.7,0,4.7,75.1,4.644447767
61,Bryan Edwards,WR,FA,8.1,4,8.9,0.4,2.2,6.7,10.3,0,0,14.8,0,1.2,3,2.4,6.8,0,0,6.3,4.7,75.1,4.246803446
63,Quez Watkins,WR,PIT,2.3,11.7,4.6,3.3,4.8,6.4,3.7,1.8,0.9,3.3,0,2.6,6,0,1.4,4.3,1.5,14.4,4.3,73,3.678952481
64,Corey Davis,WR,FA,21.7,0.8,4.1,17.1,4.5,0,10.7,0,0,7.3,3.5,0,1.5,0,0,0,0,0,7.9,71.2,6.243416285
65,Nick Westbrook-Ikhine,WR,TEN,1,0.6,9.3,2.9,0,2.7,0,7.6,1.4,1,10.7,8.5,BYE,3.1,3.2,3.8,0,13.8,4.6,69.6,4.135850519
66,Nelson Agholor,WR,BAL,13.2,2.1,1.7,5.9,3.2,2.8,11.1,6,0,2.1,10,2,0.6,0,3.4,0,0,2.3,4.4,66.4,3.903828447
67,Jalen Guyton,WR,LV,4.9,2.2,0.3,2.9,3.5,1.5,0,1.8,1.9,0,2,2.3,14.9,14.7,7,0,1.1,5.2,4.1,66.2,4.345311082
68,Randall Cobb,WR,FA,3.3,2.6,0,18.9,3,0,2.2,13.5,5,2.1,1.5,13.5,0,0,0,0,0,0,6,65.6,5.506483272
69,Laviska Shenault Jr.,WR,SEA,5.9,0.3,4.8,11,5.8,5.4,0,2.1,2,2.1,3,3.3,3.1,3.4,4.9,0,1.3,6.2,4,64,2.665810048
70,DeVante Parker,WR,FA,8.1,4.2,4.2,13.7,0,0,0,8.5,0,0,0,0,6.2,0,12.8,0,4.6,1.2,6.4,63.5,4.48265863
71,DeAndre Carter,WR,CHI,0,0.2,0,8.4,7.3,0,3.1,11.1,0,12,7.9,4.6,0.6,1.2,2.4,2,0.6,1.1,3.7,62.5,3.946841994
72,Freddie Swain,WR,CHI,0.5,16,2.1,8,0.9,0.4,4.7,0,0,0,0,9.2,1.8,0.3,2.5,0.9,6.5,8.5,3.6,61.5,4.356494372
73,Marquez Valdes-Scantling,WR,BUF,1.7,0,11.9,0,0,0,BYE,0,1.9,4.1,18.3,5,0,2,15.8,0,0.3,0,5.5,61,5.737685776
74,Henry Ruggs III,WR,FA,4.6,17.5,8.5,6,5.1,15.7,3.1,0,0,0,0,0,0,0,0,0,0,0,8.6,60.5,5.345937075
75,Joshua Palmer,WR,LAC,1.7,2.1,0,0,1.2,0.8,BYE,8.4,2.2,2.2,2.3,2.5,0,12.6,1.5,10.3,1.6,10.5,4,59.9,3.985345127
76,Zay Jones,WR,ARI,10.6,0,1.5,0.5,0.6,0,4.3,0,2,2.2,2,6.3,2.1,0.5,6.7,5,11.9,2.7,3.9,58.9,3.471759969
77,Olamide Zaccheaus,WR,WAS,0,2.2,9.2,1.5,2,0,1.3,1.2,17.8,2.2,2.3,0.5,4.6,0,5.3,3.2,0.8,4.7,3.9,58.8,4.191393298
78,Jamison Crowder,WR,WAS,0,0,0,12.1,4.4,0,3.4,8.4,3.8,2,10.4,0.5,6.2,1.9,4,0,0,1.6,4.9,58.7,3.681204345
79,Jauan Jennings,WR,SF,0,7.7,0,1.4,0,BYE,0,0,0,0.3,0.4,8.4,0.8,4.6,8.8,1.9,2.5,21.4,4.5,58.2,5.422559566
80,Rashod Bateman,WR,BAL,0,0,0,0,0,2.9,8,BYE,5.2,8,2.9,3.1,0,10.3,0.5,8.6,5.8,2.2,4.8,57.5,3.47905249
81,Michael Gallup,WR,FA,3.6,0,0,0,0,0,0,0,0,4.2,4.4,10.6,9.6,6,3.2,5.3,9.6,0,6.3,56.5,3.678939897
81,Zach Pascal,WR,ARI,16.3,9.8,3.1,4.4,4.8,0,1.4,4.3,5.8,0.9,0.9,0.8,1.8,0,2.3,0,0.8,0.7,3.5,56.5,4.029172172
83,DeSean Jackson,WR,FA,2.1,0,18,0.6,6.8,0.6,0,0,0,1.8,0.4,16.2,1.4,1.9,1.1,4.4,0.5,0,4,55.8,5.242030989
84,Tre'Quan Smith,WR,DET,0,0,0,0,0,0,1.1,9.3,5.3,10.4,6.4,3.1,1.5,3.3,1.7,0,0,13.6,5.6,55.7,4.103856211
85,Rondale Moore,WR,ATL,6.8,17.4,0.4,3.7,9.7,2.6,1.7,0.5,2.5,1.1,5.1,0,1,1.6,1,0,0,0,3.9,55.1,4.321797323
86,Kenny Golladay,WR,FA,6.4,3.8,6.4,11.6,0,0,0,0,2.8,0,1.2,5,3.7,1.5,5.3,2.2,0,2.2,3.7,52.1,3.056045415
87,Jamal Agnew,WR,FA,0,6,0,3.8,4.9,7.8,0,9.8,3.8,13.9,2,0,0,0,0,0,0,0,4.3,52,4.032904783
88,Josh Reynolds,WR,DEN,0,0,0,5.9,0.8,0,2.3,0,0,0,0,13,6.9,5.2,12.8,3.6,0,1.1,4.7,51.6,4.179845824
89,T.Y. Hilton,WR,FA,0,0,0,0,0,8,0,1.6,0,0.5,2.6,8.8,2.2,0,1.9,11.1,10.5,3.9,5.1,51.1,3.822904493
90,Keelan Cole Sr.,WR,FA,0,0,3,9.2,3.8,0,0.6,2.5,6.6,1.8,0,2.4,0,2.7,0.9,2.5,3.5,11.4,3.6,50.9,3.16118922
91,Nico Collins,WR,HOU,0.7,3.2,0,0,0,4.4,2.8,5.5,2.5,BYE,0.9,2.8,0,6.9,1.4,9.3,3.5,6.7,3.6,50.6,2.718894544
92,Julio Jones,WR,FA,2.9,12.8,4.7,0,0,5.9,3.8,0,3.5,0,0,0,0,3.3,0,0.7,0,11.8,4.9,49.4,3.879321565
93,Laquon Treadwell,WR,IND,0,0,0,0,0,0,0,0,0,1.8,1.1,5.3,6.2,6.8,5.7,5.4,8.7,8.4,4.1,49.4,3.245034193
94,Allen Robinson II,WR,NYG,3.5,8.4,2.7,6.3,3.2,5.3,1.6,2.1,6.8,BYE,0,0,0,1.4,0,0,3.5,4.2,4.1,49,2.566122113
95,Jerry Jeudy,WR,CLE,7.2,0,0,0,0,0,0,3.9,6.9,5.1,0,2.5,7.7,4.7,0,6,0,3,4.7,47,2.892305672
96,Mack Hollins,WR,BUF,0,0,0,0,1,6.1,7.3,0,8.2,0,13.2,0,6.5,0,0,4,0,0,2.9,46.3,3.888273761
97,Jalen Reagor,WR,NE,10.9,0.5,5.3,2.1,2.4,0,8.5,2.1,0.6,0.4,0.1,3.1,0.7,BYE,5.7,1.5,0.3,2.9,2.7,45.1,3.042399345
98,Danny Amendola,WR,FA,9.4,0.9,0,0,0,0,1.7,0.3,4.9,0,0,2.3,0,0,0,0,0,25.3,5.6,44.8,6.009426751
99,Demarcus Robinson,WR,LAR,0.9,10.6,1.7,0,0.8,10.6,0.7,1.8,0.2,2.3,0,0,2.1,0,0,1.5,9.3,1.9,3,44.4,3.538361203
100,Devin Duvernay,WR,JAC,0.6,0,8.2,3.1,4.5,2.6,0.9,0,6.8,4.7,3.7,1.5,2.1,1.7,1.3,0,2.3,0.2,2.8,44.2,2.298362273
101,Sammy Watkins,WR,FA,9.6,4.4,6.8,4.9,3.5,0,0,0,0,1.3,4.8,0.8,9.9,0,0,0,0,0,3.9,43.4,3.332036785
102,Kadarius Toney,WR,KC,0.2,0,1.6,7.9,19.6,3.6,0,3.4,0.7,0,4,BYE,0,0,0,2.8,0,0,4.8,43.4,4.759946788
103,Darius Slayton,WR,NYG,6.5,11.4,0.8,0,0,0,6.3,0,0,BYE,1.7,2.7,1.3,0,2.3,0.7,0,8.9,3.3,42.6,3.452615477
103,Chris Conley,WR,SF,2.7,1.3,0,0,12.4,1,0,2.4,3.8,0,3.7,0,0,2,1.2,12,0.1,0,3,42.6,3.698798604
105,James Washington,WR,FA,1,0,2,6.9,0,0.9,0,0.4,5.5,7.5,1.2,0.3,0,12.5,3.6,0,0,0,2.8,41.8,3.446021145
106,Sterling Shepard,WR,TB,17.3,8.5,1.6,0,0,7.6,0,2.5,BYE,0,0,0,0,2.7,1.5,0,0,0,6,41.7,4.507264417
107,Calvin Ridley,WR,TEN,5.1,12.3,6.1,8,0,0,8.6,0,0,0,0,0,BYE,0,0,0,0,0,8,40.1,3.894801788
108,Damiere Byrd,WR,BUF,1.9,0,0,0,0,0,1,0,0,0,0.3,4.2,3.6,13.6,4.2,3.1,2.3,4.7,3.5,38.9,3.255958451
109,Antoine Wesley,WR,FA,0,0,0,0,0,0,0,0.7,6.2,0,4.4,0,0,0,1.9,8.9,15,1.7,4.9,38.8,3.981655466
110,Adam Humphries,WR,FA,1,4.4,0.7,1.9,7.3,0.4,3.6,3.5,0,0.5,3,1.4,3.8,3.4,2.3,0.4,1.2,0.3,2.3,38.3,1.861542239
111,Marquise Goodwin,WR,FA,4.3,1,0,0.1,0.8,1.2,1.6,3.2,5,0,16.4,0,0,0,0,2.3,0,1.3,2.7,37.2,3.789165842
112,Lil'Jordan Humphrey,WR,DEN,0,2.7,0,0,0,0,0,0,0,0,6.4,4.7,10.9,0,0,7,2.6,2.6,4.6,36.9,3.127165916
113,Tyler Johnson,WR,LAR,0,0.5,6.3,0,4.2,0,1.6,6.5,0,1.7,0.8,0.9,0.5,1.7,4.1,0,5,2.2,2.3,36,2.166923062
